TraceFinder Compound Database Export,Schema Version 1
,,,,,,,PEAK 1
CompoundName,ExperimentType,Compound Type,ChemicalFormula,CAS,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment
MW_548.17488@RT_11.519,XIC,eTargetCompound,C28 H30 N4 O4 P2,,ESI,547.167236328125,M-H,-,1,11.5485442849615,367.10443,213.77051,213.77704,304.00525,247.06241,307.08334,187.04112,113.02319,157.03038,98.33944
MW_514.20555@RT_11.625,XIC,eTargetCompound,C17 H36 N6 O8 P2,,ESI,515.212890625,M+H,+,1,11.6421585469871,104.10734,258.10999,214.15715,304.02319,184.07321,125.00003,86.0969,239.75792,349.69772,313.76505
MW_444.15757@RT_11.414,XIC,eTargetCompound,C12 H28 N8 O6 S2,,ESI,445.164794921875,M+H,+,1,11.352115576592,234.07712,144.99297,219.60599,112.07368,445.16452,441.97269,68.28901,364.93289,406.61264,418.16376
MW_412.07629@RT_11.480,XIC,eTargetCompound,unknown,,ESI,413.083404541016,M+H,+,1,11.4776433529535,413.08353,293.04132,233.02034,172.99928,353.06259,217.09689,104.99261,203.00989,191.00993,116.99252
MW_390.09423@RT_11.448,XIC,eTargetCompound,C19 H18 O9,,ESI,391.101287841797,M+H,+,1,11.3628452825161,391.10114,213.30638,213.29984,304.01904,271.05936,229.04881,331.0809,304.02942,203.05228,117.64883
MW_411.07964@RT_11.454,XIC,eTargetCompound,unknown,,ESI,412.086639404297,M+H,+,1,11.4545853216327,412.08725,216.86206,232.02402,292.04477,304.02649,172.00287,104.99265,117.65379,216.85699,352.06613
NP-020871,XIC,eTargetCompound,C24 H30 O4,,ESI,405.199401855469,M+H,+,1,11.4726808883305,405.19934,335.15753,217.506,304.01819,261.12082,304.02847,285.00687,242.99675,287.02228,83.42976
MW_402.08200@RT_11.572,XIC,eTargetCompound,C16 H15 N6 O5 P,,ESI,401.074554443359,M-H,-,1,11.5749995847179,221.01152,160.99014,383.06424,118.97939,203.00093,172.99017,401.07437,125.02332,148.99001,113.0232
3-O-feruloyl-D-quinic acid,XIC,eTargetCompound,C17 H20 O9,,ESI,367.104187011719,M-H,-,1,11.5095865365062,367.10406,113.02321,307.0834,187.04094,247.06236,157.03027,145.03023,277.07288,85.0091,71.0127
MW_367.11527@RT_11.527,XIC,eTargetCompound,unknown,,ESI,366.107849121094,M-H,-,1,11.5027995781248,366.108,186.04465,113.02335,306.08719,246.06602,156.034,144.03392,84.01273,276.07675,216.05539
MW_364.13915@RT_11.688,XIC,eTargetCompound,C9 H20 N10 O4 S,,ESI,365.146514892578,M+H,+,1,11.6813232673761,234.07712,144.99307,193.13359,218.61462,221.01854,280.09204,112.07366,365.207,304.01895,104.10738
MW_350.16812@RT_11.589,XIC,eTargetCompound,C10 H22 N8 O6,,ESI,349.160888671875,M-H,-,1,11.6297021684801,169.09726,219.77196,219.76544,71.01274,51.47664,331.39059,59.99759,184.3271,117.64304,50.96706
MW_345.10849@RT_11.739,XIC,eTargetCompound,C12 H19 N5 O5 S,,ESI,344.101165771484,M-H,-,1,11.7572003646279,164.03766,218.54306,100.03915,304.00128,76.9692,63.96135,127.78297,251.70943,138.74619,173.23831
MW_338.13180@RT_11.380,XIC,eTargetCompound,C12 H22 N2 O9,,ESI,337.124420166016,M-H,-,1,11.3557918855967,157.06079,214.46414,304.00327,59.01265,89.02332,254.90608,214.47035,92.94731,113.02313,261.03668
MW_317.12313@RT_11.650,XIC,eTargetCompound,C12 H19 N3 O7,,ESI,316.115661621094,M-H,-,1,11.6231980087775,242.07912,59.01274,168.04202,78.95794,216.17943,152.99472,304.00723,216.17317,171.00534,182.23985
MW_309.22782@RT_11.468,XIC,eTargetCompound,C13 H31 N3 O5,,ESI,310.235015869141,M+H,+,1,11.4989467788964,214.81319,169.03989,164.02951,310.23517,304.02692,120.00356,123.00725,276.21176,64.67579,56.99975
MW_311.13220@RT_11.718,XIC,eTargetCompound,C11 H17 N7 O4,,ESI,310.124816894531,M-H,-,1,11.6790372928599,130.0498,88.03919,130.06107,89.02321,59.0127,218.66211,71.0127,101.02325,119.03377,113.02318
N2-Dimethylguanosine part of 11.5 min gang,XIC,eTargetCompound,C12 H17 N5 O5,,ESI,310.113616943359,M-H,-,1,11.6851163195394,130.0498,88.03919,130.06107,89.02321,59.0127,218.66211,71.0127,101.02325,119.03377,113.02318
MW_308.09075@RT_11.348,XIC,eTargetCompound,unknown,,ESI,307.083587646484,M-H,-,1,11.354642463442,307.08337,187.04097,214.88206,145.03029,217.05186,247.06245,85.00895,214.87538,157.03015,113.02309
MW_299.12087@RT_11.712,XIC,eTargetCompound,C11 H17 N5 O5,,ESI,298.113464355469,M-H,-,1,11.6667903705739,298.15558,118.04978,218.81221,304.00555,171.42102,298.24619,80.95604,316.1347,65.31096,181.39691
5-aminoimidazole ribotide,XIC,eTargetCompound,C8 H14 N3 O7 P,,ESI,296.065795898438,M+H,+,1,11.5975667395934,104.10733,215.08676,236.99226,296.0657,304.02283,84.91174,86.09689,75.29134,281.43927,56.93234
MW_279.08468@RT_11.588,XIC,eTargetCompound,C12 H13 N3 O5,,ESI,280.091949462891,M+H,+,1,11.5906056911962,221.01842,104.10735,280.09171,217.09599,86.09698,304.0242,296.93307,216.64877,209.14969,255.34264
MW_270.09455@RT_11.461,XIC,eTargetCompound,C4 H15 N8 O4 P,,ESI,269.087219238281,M-H,-,1,11.4647961676384,269.21161,215.59958,269.24786,89.02325,269.10236,153.65747,215.59335,133.8524,83.42609,212.69559
alpha-Glycerylphosphorylcholine,XIC,eTargetCompound,C8 H20 N O6 P,,ESI,258.110015869141,M+H,+,1,11.6152637743596,104.10736,258.11005,184.0733,124.99998,86.09692,60.08145,213.10982,213.11629,199.03667,240.09908
MW_256.07882@RT_11.432,XIC,eTargetCompound,C8 H16 O9,,ESI,255.071517944336,M-H,-,1,11.4116164981938,255.23222,172.95688,154.9463,75.0076,254.9061,215.82295,215.82945,194.93896,75.29108,255.19612
MW_249.04370@RT_11.413,XIC,eTargetCompound,unknown,,ESI,250.050903320313,M+H,+,1,11.3927134371433,250.05103,160.967,219.49803,128.04745,219.49147,117.63223,183.59846,141.60178,212.74184,69.23857
MW_243.05843@RT_11.536,XIC,eTargetCompound,C6 H13 N O9,,ESI,242.051208496094,M-H,-,1,11.5660513072038,242.07915,168.04207,78.95792,152.99475,219.00293,171.00528,242.17514,98.33508,165.96574,227.51015
MW_240.08375@RT_11.564,XIC,eTargetCompound,C5 H8 N10 O2,,ESI,239.076568603516,M-H,-,1,11.5332046031662,157.06084,239.13942,126.09126,239.06493,223.18127,239.11063,223.02753,59.01274,179.44795,98.14424
Secobarbital,XIC,eTargetCompound,C12 H18 N2 O3,,ESI,237.123794555664,M-H,-,1,11.6136969030646,237.12378,217.87355,193.13362,217.87988,59.01276,93.04465,150.12787,125.51826,78.89494,102.22425
MW_233.06980@RT_11.472,XIC,eTargetCompound,unknown,,ESI,234.076965332031,M+H,+,1,11.4645376250943,144.99307,234.07709,112.0736,215.49788,163.00369,186.01974,83.42751,117.64593,116.32304,75.29192
MW_223.06843@RT_11.576,XIC,eTargetCompound,C7 H13 N O7,,ESI,222.060989379883,M-H,-,1,11.5714250337735,213.94568,213.95216,133.83946,178.18941,123.90069,117.39195,59.01276,170.59865,50.0661,76.63206
MW_220.01124@RT_11.631,XIC,eTargetCompound,C3 H5 N6 O4 P,,ESI,221.018402099609,M+H,+,1,11.6062150160611,221.01833,216.1402,221.06296,176.99203,221.07399,104.21164,218.10571,239.09422,55.65347,92.26319
MW_218.01913@RT_11.490,XIC,eTargetCompound,C4 H11 O8 P,,ESI,219.026504516602,M+H,+,1,11.4717495227456,212.56155,212.55501,219.07152,219.17378,58.686,52.95468,83.42346,117.64185,80.00475,99.45364
MW_218.03631@RT_11.610,XIC,eTargetCompound,C9 H7 N4 O P,,ESI,217.029037475586,M-H,-,1,11.6142297986887,59.01276,174.99141,217.11848,217.00206,220.1192,89.02327,217.02881,119.03371,217.10748,71.01276
MW_215.05919@RT_11.487,XIC,eTargetCompound,C5 H9 N7 O S,,ESI,216.066543579102,M+H,+,1,11.4235642184533,213.71608,144.99312,157.02602,216.06627,213.72238,187.81187,177.49037,52.65879,67.72601,72.66894
MW_217.04256@RT_11.613,XIC,eTargetCompound,C9 H13 Cl N O P,,ESI,216.035446166992,M-H,-,1,11.6675963679508,59.01274,174.99156,223.1841,217.00217,228.81161,102.98345,209.22389,101.02356,124.18708,210.1077
2-C-methylerythritol 4-phosphate,XIC,eTargetCompound,C5 H13 O7 P,,ESI,215.031982421875,M-H,-,1,11.6975877122308,214.91348,220.97234,220.97862,88.03929,92.94491,89.02342,118.05002,143.2296,104.20158,51.51464
Diphenylsulfoxide,XIC,eTargetCompound,C12 H10 O S,,ESI,203.05256652832,M+H,+,1,11.4855589403472,203.05258,203.04083,215.60786,215.60173,130.08652,75.29646,143.03154,98.34585,56.93463,181.19392
Oxoamide,XIC,eTargetCompound,C10 H12 N2 O2,,ESI,193.094924926758,M+H,+,1,11.5840632997072,193.09482,193.13374,165.13864,193.11028,75.30456,198.62234,56.05014,128.29459,62.23304,163.50945
Azelaic acid,XIC,eTargetCompound,C9 H16 O4,,ESI,187.096603393555,M-H,-,1,11.5465518312109,125.09604,187.0966,127.01952,97.06476,157.03023,143.07028,71.01269,187.05028,169.08575,187.13284
MW_181.06578@RT_11.539,XIC,eTargetCompound,C9 H11 N O3,,ESI,180.058486938477,M-H,-,1,11.6372873683031,180.06566,163.03906,119.04909,72.00799,93.03348,104.2047,75.28815,83.42123,72.9476,73.3521
Glucose,XIC,eTargetCompound,C6 H12 O6,,ESI,179.055191040039,M-H,-,1,11.5269434358566,59.01276,71.01278,89.02331,113.02326,101.02331,85.02839,118.9795,72.99193,75.00766,119.03391
Levetiracetam,XIC,eTargetCompound,C8 H14 N2 O2,,ESI,169.097274780273,M-H,-,1,11.6257530797286,169.09724,88.03924,71.01279,52.01822,66.03385,57.39922,150.38857,72.58393,74.39938,71.99554
Methionine S-oxide 11.5 gang,XIC,eTargetCompound,C5 H11 N O3 S,,ESI,164.037673950195,M-H,-,1,11.7693233170005,100.03934,164.03777,63.96135,76.96927,79.95638,119.95057,149.01396,174.82025,52.28048,164.07091
Anhydrohexose,XIC,eTargetCompound,C6 H10 O5,,ESI,161.044555664063,M-H,-,1,11.5924255600031,71.01275,85.02837,161.04456,73.0284,113.02327,59.01278,131.03378,95.01264,132.99504,160.99005
MW_158.06810@RT_11.366,XIC,eTargetCompound,C6 H10 N2 O3,,ESI,157.060791015625,M-H,-,1,11.3471544549961,157.06075,157.12231,59.01273,113.05962,113.07087,157.04993,157.08591,113.09599,113.02316,75.00765
MW_153.05147@RT_11.719,XIC,eTargetCompound,unknown,,ESI,154.058715820313,M+H,+,1,11.7512829766392,136.04819,111.092,154.04424,104.21436,117.65024,133.8584,55.09557,92.7353,114.87856,103.96949
Pentose sugar,XIC,eTargetCompound,C5 H10 O5,,ESI,149.044525146484,M-H,-,1,11.4680473235409,89.0233,149.04439,71.01271,73.02835,87.00764,59.01273,131.03386,148.92317,74.25349,71.62791
MW_144.04120@RT_11.579,XIC,eTargetCompound,C6 H8 O4,,ESI,143.033874511719,M-H,-,1,11.5554001348932,142.92365,143.03517,61.98721,70.29845,149.23526,66.43452,100.35516,59.01272,64.66711,75.29128
MW_98.03570@RT_11.596,XIC,eTargetCompound,unknown,,ESI,97.0283737182617,M-H,-,1,11.6458367378369,96.97502,78.96452,94.97939,76.96888,96.95893,78.95785,97.02818,55.27047,79.54221,70.3707
MW_139.06096@RT_11.512,XIC,eTargetCompound,C3 H5 N7,,ESI,140.068267822266,M+H,+,1,11.4756389293205,140.06824,74.09705,114.08934,75.28288,129.84537,104.54781,87.98518,148.65852,75.28185,72.5586
MW_135.04094@RT_11.733,XIC,eTargetCompound,unknown,,ESI,136.048202514648,M+H,+,1,11.753751594244,136.06181,136.02153,136.04811,136.11203,136.07561,83.42088,91.05453,118.95832,63.52576,83.18682
Creatine (drop this duplicate),XIC,eTargetCompound,C4 H9 N3 O2,,ESI,130.061019897461,M-H,-,1,11.733449531496,88.03922,130.04976,128.03409,84.04432,68.04942,71.01272,66.03377,112.03924,82.02863,130.08589
4-oxoproline,XIC,eTargetCompound,C5 H9 N O4,,ESI,128.034194946289,M-H-H2O,-,1,11.6255222418559,128.03421,127.896,84.52418,119.68358,104.2043,75.28748,105.71969,106.48167,87.99678,55.88332
MW_120.04115@RT_11.558,XIC,eTargetCompound,unknown,,ESI,119.033874511719,M-H,-,1,11.4618940145692,59.01276,118.97945,71.01274,119.03378,73.0284,119.02398,89.02325,87.00763,60.97404,101.02322
MW_74.03567@RT_11.543,XIC,eTargetCompound,unknown,,ESI,73.0284271240234,M-H,-,1,11.5187905651293,73.0284,72.99199,63.05599,74.5769,68.67982,57.72719,60.46474,73.21209,74.85516
MW_114.03057@RT_11.561,XIC,eTargetCompound,unknown,,ESI,113.023300170898,M-H,-,1,11.5400527536411,68.99465,85.02837,57.0335,113.02326,84.02056,55.01785,112.98445,83.01276,95.0127,72.99206
Choline,XIC,eTargetCompound,C5 H13 N O,,ESI,104.10733795166,M+H,+,1,11.6086281195853,104.10736,60.08144,58.06578,59.07361,62.92968,105.11066,117.64623,83.42836,75.29385,86.09695
MW_102.03059@RT_11.563,XIC,eTargetCompound,unknown,,ESI,101.023330688477,M-H,-,1,11.5415005531834,55.01785,73.02841,59.01279,83.01273,71.01271,101.02333,104.2062,55.94283,55.26671,89.70277
Lactic acid (drop this duplicate),XIC,eTargetCompound,C3 H6 O3,,ESI,89.0232925415039,M-H,-,1,11.5220656434697,59.01276,89.02328,71.01276,89.04265,72.99203,58.00501,87.00777,59.7563,59.1117,82.91609
MW_86.03569@RT_11.562,XIC,eTargetCompound,unknown,,ESI,85.0284042358398,M-H,-,1,11.5792097942154,85.0032,57.99236,55.01782,57.0335,85.0284,51.45867,74.72054,77.75742,50.77914,59.54376
Acrylic acid,XIC,eTargetCompound,C3 H4 O2,,ESI,71.0127563476563,M-H,-,1,11.5566823794593,71.01276,68.2872,68.28817,51.7104,80.61756,59.15765,62.97446,56.00388,62.02429,70.83881
