rat_ID,OGTT glucAUC,Urocanic acid,Uridine,Uric acid,Tyrosine,Tryptophan,Trigonelline,Indole-3-acrylic acid,Threonine,Threonic acid,Taurine,Stachydrine,Serine,Ribose,Quinic acid,Pseudouridine,Proline,Pipecolic acid,Phenylalanine,Phenylacetylglycine,Ornithine,Nicotinamide 1-oxide,Nicotinamide,"N6,N6,N6-Trimethyllysine","N3,N4-Dimethylarginine",N-Methyl-2-pyrrolidone,N-Isovalerylglycine,N-Acetylornithine,N-Acetylneuraminic acid,N-Acetylaspartic acid,Methylhistidine,Methylaminopyrimidine,Leucine,Lactic Acid,Isoleucine,Hydroxycinnamic acid,Hydrocinnamic acid,Histidine,Hippuric acid,Guanidinosuccinic acid,Glyceric acid,Glutamine,Glutamic acid,Glucose,Gluconic acid,Ethylglucuronide,Ergothioneine,Cytidine,Creatinine,Creatine,Citramalic acid,Choline,Carnitine,Betaine,Glucopyranuronic acid,Beta alanine,Asparagine,Ascorbic acid sulfate,Arginine,Anserine,Anhydrohexose,alpha-Glycerylphosphorylcholine,Alanine,Adenosine 5'-monophosphate,Acrylic acid,Acetyl-beta-methylcholine,8-Hydroxyquinoline,"5,5-Dimethylhydantoin",4-Oxoproline,4-Hydroxybutyric acid,4-Hydroxybenzaldehyde,4-Guanidinobutyric acid,3-Methylhistidine,Indoxyl sulfate,3-Hydroxybutyric acid,2-Naphthalenesulfonic acid,2-Mercaptoethanol
1091_8_FBG,317.6666667,19017954.19,31041178.67,192264008.6,8776986.865,6296060.89,3338523.671,6766759.588,5136893.816,2868605.459,11116910.55,21845559.35,22143023.49,559024.9323,423733.298,1465933.776,15888186.54,16101258.32,15482683.56,606547.5467,10270360.66,3612687.869,7807781.383,844836.8125,1774209.84,47675576.15,1012686.271,694836.0267,3182692.775,2620780.098,1653137.571,3011586.664,11133282.06,143849172.5,9063054.478,2045881.236,5292265.935,16575594.53,266793.9856,2035617.354,11021158.96,275382609.4,3506002.078,28779940.24,2361236.758,853558.2589,671792.5067,8750146.172,19630473.14,82875733.46,1732218.073,35754333.1,18349913.6,246747651,1732218.073,4456357.077,4636616.03,4105762.972,5976285.918,1179185.167,8402487.568,60330460.56,20345896.28,1532901.306,10210153.52,3213273.304,336557.318,23995570.41,21431288.83,9935010.483,604782.5104,415171.2078,1747375.167,1490747.657,70247443.72,5394008.854,60932610.32
1091_10_FBG,317.6666667,12566499.9,27506125.36,150317027.5,9197110.304,6842137.116,4546626.269,6769321.116,3578884.959,2893118.85,6996678.343,26876469.82,16040034.92,859746.3234,459047.1213,1571241.506,12885603.33,16469249.74,14763756.6,778927.301,10369917.18,3615984.456,3901875.424,1155206.441,2326371.77,39012594.82,1108090.109,675390.1733,2404081.046,2405842.297,1939523.768,7704422.119,10964946.84,138378491.4,6558883.289,1984446.238,3132811.057,31851334.88,226501.1948,2649944.125,15186316.38,267939561,2558569.462,26575811.26,2334195.402,748324.8397,1128379.106,5095755.967,20930777.48,75499127.45,2146474.935,26017683.11,22218857.57,203026422.2,2146474.935,3897420.308,4409321.673,5621846.137,17955593.38,1223219.904,7664207.809,35526120.4,16886802.21,634051.3287,9973354.389,3965113.75,119782.4006,22345803.45,16845215.31,10187741.09,642528.0624,289691.0676,1506346.491,1735679.583,91690869.47,3918301.215,52848787.13
1093_8_FBG,417.625,12267489.17,26275629.33,177804706.2,9233758.261,6508144.965,4619307.201,6653761.655,5298706.841,2210036.677,12931653.7,24361966.61,17575215.65,756911.3048,458539.705,1549615.787,14010409.04,17933625.54,14434202.58,806456.6698,11465627.91,5021533.187,5967951.773,1245520.351,2285318.395,43909620.17,587103.3354,987648.9415,3790253.777,3029672.848,2040312.341,7518277.327,11207177.13,153415771.3,7748684.149,2036606.359,4632434.352,17257252.57,538100.3047,2285551.837,11264074.07,284216905.3,4042094.835,31558975.23,1761937.349,106500.8208,910268.3685,6119327.106,19951305.71,92305602.1,2013003.985,26463532.2,25353032.62,256928938.3,2013003.985,3139760.346,5558814.014,5110469.238,3974767.865,1627835.895,9302674.298,48307258.42,18693327.42,1480201.776,10912091.75,6429771.432,205246.7077,25028781.13,15720992.53,11824511.13,670007.7153,331040.713,1939265.429,4081237.444,91463739.18,4075409.249,52031372.58
1093_9_FBG,417.625,5415968.61,24170186.8,139111579.2,9494576.177,6179363.357,5808179.122,6486676.368,5072950.338,3286372.287,8605686.299,23719143.38,15028653.63,678746.4805,891169.1586,1315792.496,11975109.31,18833653.5,13283357.5,905251.2979,11704194.82,4466197.416,5679404.637,1082260.923,2074641.022,41973253.87,1200759.42,893766.7353,2664523.364,2596734.338,2133969.345,2760164.452,11964229.62,128410137.6,9941832.952,1916622.134,3900210.113,18139050.85,389991.518,2267180.158,13000826.42,300799464.1,2992118.245,32813263.14,1923036.321,1014672.389,1116216.031,3997385.142,20430518.06,87727677.17,3049134.828,24218198.49,26210876.07,228752715,3049134.828,4884559.799,6116729.484,5405849.046,4778475.189,1159078.943,10679726.98,33367239.13,20053731.81,933509.7661,12707688.73,8453835.474,499616.1988,25855497.76,10658733.06,12373706.98,674436.9773,387049.3526,2017598.147,4605000.16,106272820.7,8589181.649,57173970.11
1093_10_FBG,417.625,6834538.092,22210442.15,113369980.3,8749131.348,7270258.001,5070730.291,7955864.253,3846522.013,2009679.999,17195207.75,26719377.33,13013784.15,954443.1765,239705.9522,1429992.917,11444759.44,18657717.03,15076128.57,697879.1463,10597344.66,5492814.127,7255040.587,1338025.275,2521275.203,43118622.87,940198.4819,797174.4074,2649704.484,4000125.848,1661002.744,3710226.375,10580525.53,162834291,7892467.426,1910734.398,2532825.737,14735899.83,172727.8349,2694066.465,12884933.14,258633165,4877186.817,23610406.04,1536094.825,667658.1762,860675.9655,3369166.617,19062664.37,87901928.27,2055438.33,17900106.05,23987751.46,239636971.1,2055438.33,3207639.951,4674763.106,6656272.34,10026554.18,2601695.404,11832752.06,25017008.26,17969102.66,1288104.351,8351734.727,6708542.566,1296231.448,21318733.81,12994159.24,10549487.55,655299.5827,297247.0616,1727013.46,2500603.503,57091895.84,4066620.959,53373971.92
1060_8_FBG,812.375,15602078.92,27537794.98,145332.1523,6597335.17,4447317.879,2761855.113,4388678.121,3357743.024,2523264.855,12386148.03,13397986.9,16151803.83,1239042.029,1219809.774,1491990.001,13413932.71,13388532.35,11137114.85,2185316.018,9010872.66,3640426.934,5508707.452,1017778.94,1975658.526,46562474.15,2370813.532,554537.5517,2689512.317,5276138.688,765384.3903,7118721.935,10071817.99,75608222.08,6409182.304,1227017.986,4952108.746,30955248.96,461011.302,863081.0771,7265237.498,246837939.6,2932972.41,20533487.48,1189391.9,473313.0801,57611.18176,7496558.409,19350595.66,92344089.92,2260556.192,27894668.45,16553691.8,165760415.9,2260556.192,4101475.385,3603803.881,5631206.462,4626695.327,1356234.535,5990774.012,53921191.48,18038151.72,964141.2206,8114693.009,2277755.146,1387358.833,21772996.47,20981888.04,5892383.245,489242.8479,486039.4034,1212013.232,3161875.319,42924672.63,2779719.362,58002984.23
1060_9_FBG,812.375,20135123.95,24064538.54,589531.6204,9683139.366,5729743.46,2813667.509,6076215.939,3778966.615,2119090.556,13674309.39,14760455.58,16868765.84,1235016.926,904239.7287,1432985.416,13967789.14,14104270.14,15145124.15,3903294.855,10970906.36,2980894.17,4551806.839,1228534.51,1663684.224,52817392.24,4166153.578,864482.9893,3782923.579,4379802.255,1823914.134,7297448.767,12344812.34,136947825.3,6999815.711,1951882.162,5941250.928,32375989.31,881208.143,2362352.857,10507621.08,242094430.1,7263194.783,24973704.59,1352368.03,824625.5488,64565.78191,6897204.258,18342436.35,100293305.2,1934213.138,28126288.42,26788009.6,163468036.4,1934213.138,4478056.399,4540838.636,5541990.315,1495039.006,1335662.754,8312591.591,46610332.36,19968307.81,1231269.71,8663555.563,3296686.919,2842132.877,21052763.92,24446399.21,9600900.629,612054.9169,554140.5554,1876159.865,3711704.621,52036118.73,1472924.771,44671043.79
1060_10_FBG,812.375,8893914.038,29057026.91,155157441.7,7270466.245,6197505.32,3612668.703,6647481.623,3248736.241,2778235.475,13418553.61,17909319.77,12328782.56,1272317.642,957167.7931,1836112.725,10229269.99,12518066.08,12359081.31,1445528.252,13616166.79,3097328.734,4956685.372,1531322.236,2759647.725,32939811.85,944397.1087,608688.624,5388939.544,2833794.132,1774857.764,5653687.119,7892076.711,108689673.3,6511924.081,1590456.146,4048022.377,14118979.68,542680.5409,2103676.803,11251109.31,289324611,3360286.141,22235286.93,1443806.534,609291.6909,894199.5386,3791247.861,18296416.88,113449580.6,3742849.827,19269129.77,27519392.69,176808367.4,3742849.827,2276150.577,3811638.523,5131073.494,5027666.477,2216795.813,5865540.683,26411319.57,18418720.14,1081763.485,7998772.325,3583253.512,693647.0893,25615453.23,16349295.29,9792362.164,496148.8579,352754.176,1381731.697,3589524.061,75136263.04,1861599.035,50076403.96
1062_8_FBG,728.625,30734323.93,28956497.33,3587877.679,9783202.46,5354127.562,4091302.062,5333773.822,4490185.121,3232301.432,14145970.86,19244493.36,26547147.87,1432300.979,467472.878,1506348.592,20753294.18,12482465.71,15518983.37,2117004.537,14143097.68,2741525.578,3919064.138,1044666.63,1748196.513,45208228.99,2248542.549,839036.5592,3760803.367,3767521.142,1750393.042,7167744.93,10637840.92,185365985.2,7696624.798,2108816.868,3993233.8,30534737.45,490701.3889,2225921.014,11968825.03,274357182.5,5030286.437,34650755.97,1686001.96,1060879.896,119836.616,9980731.447,18650174.63,105933401,2539397.403,39493613.32,24418493.54,187979325.5,2539397.403,6138728.407,4085555.995,4975634.663,1529643.225,1330127.007,11359099.65,78348985.15,22168288.96,1796370.407,12275011.89,5601289.683,3103084.256,23482849.63,32072252.16,10563047.32,730360.3737,583969.3489,1731926.423,2015764.025,74954032.05,2610618.568,65800976.99
1062_9_FBG,728.625,18376939.45,22267779.88,9567383.928,7466049.375,5740458.059,3756916.295,6307630.524,3958483.97,3987227.349,20409789.86,15653951.07,17450632.28,1866992.914,1417428.376,1437757.533,14646838.18,9973574.413,13995833.6,1894284.415,9945492.606,2648455.032,3546023.996,997943.0936,1765939.293,51184741.12,2096256.191,622689.3299,3616745.391,3633885.894,1633200.017,8218753.238,10138036.86,187816948.8,6869580.144,1582684.432,3985584.281,35713205.2,867806.8966,2276191.361,13204509.13,269230542.1,4626567.216,27903430.68,1882968.109,947408.1011,265827.3949,6363719.545,18800199.31,105725704.5,2316039.603,32786230.3,27637054.61,174827347.7,2316039.603,5305086.896,3431303.713,5691730.027,898903.7815,1477908.097,8160663.534,46906788,22683604.99,1467840.699,9928888.128,5514564.336,2658809.25,22709518.51,23847842.54,9804942.797,477699.0134,569842.1891,1447654.674,2154985.495,60037882.95,3710397.133,64494111.22
1062_10_FBG,728.625,7224465.42,15226545.93,250687470.6,5657809.608,4669495.667,3490759.108,4612582.408,2557251.22,1493988.261,7746919.561,22230226.75,9924075.101,1089088.655,1041300.941,808383.9354,7754199.489,10727662.34,8384954.595,1711398.751,8288280.304,2338902.175,2190171.918,1133321.617,2303131.734,25678476.11,899968.9116,412023.2278,2212492.617,2216184.88,265550.7383,2746669.577,7101937.339,73636918.17,4340681.499,997383.5937,3308675.026,12043092.34,777399.0664,485268.4286,5543271.794,181541397.3,1613639.064,21057445.39,1197916.022,333705.2732,930181.2626,2439757.042,13999839.54,79590345.6,5505922.217,18164511.17,15669599.19,145244242.2,5505922.217,1269260.636,3022023.093,3445022.854,12933228.57,756446.5589,9888290.813,17035752.76,15444502.46,388393.8205,8039895.472,3542053.04,131867.9099,15557455.12,10379187.38,4410380.533,399061.448,352414.2682,1882427.497,5082813.006,34357537.03,2600697.906,44819157.4
1074_8_FBG,587.5,12157637.19,21236048.4,14423618.3,9970584.545,7633303.006,8816266.211,9360762.36,6681894.9,3393598.412,14638016.37,22773179.84,19350527.99,2191425.567,4009025.652,1240076.882,15481085.88,13850220.39,19871999.98,592303.4141,17371965.62,3390390.011,3176877.581,1149475.021,1453278.065,56121180.51,1852474.41,1438609.441,2983495.973,3459835.042,1770685.498,7381939.256,15753708.63,236506672.6,10436586.48,2178591.353,26206768.79,18734489.66,2163394.845,3568382.146,13253252.81,312748183.8,4254780.248,56742196.42,1923846.909,2293729.957,295611.137,12897362.39,19099783.59,85163498.6,1708057.067,48686225.44,48549406.25,194094676.4,1708057.067,4640808.197,5439408.097,4021263.492,4197600.961,1104770.22,15134492.01,105185002.6,25257082.3,1722613.335,20246306.26,3526424.476,3205059.353,29707268.39,16923089.18,9061514.651,699798.1383,1201913.97,1422383.805,3650731.692,28774390.47,2182139.537,73508857.14
1074_9_FBG,587.5,5623944.114,25394948.69,28326208.11,9720274.541,8774590.399,3175555.22,9017120.448,4682308.137,3831078.046,16393750.92,14633479.92,13969154.9,1153479.116,1115640.44,1628005.629,13210014.24,14733166.34,16172652.06,1151768.7,10001741,3235826.177,4356110.538,1281843.193,2201793.105,47503033.91,1610183.961,776620.1827,3840744.491,3467577.718,2462266.286,7157196.458,19431093.16,165039770.3,7998872.132,2150194.527,5909398.334,30396784.75,374774.4011,2451456.696,11238255.08,289405888.6,3929641.703,24493403.5,2758506.08,753825.2448,428403.3308,5315044.096,19183985.3,107365134.3,2087320.334,28816844.75,27211193.37,196587514.1,2087320.334,3658912.58,4744742.081,5467936.379,2009210.116,1828951.016,6841098.409,39013770.42,21144906.08,996736.7577,8655364.867,4729864.205,2387354.769,25443764.2,11271335.83,10017090.45,696405.4605,509565.4573,1699076.793,1848567.584,61068079.94,1211383.107,57248985.43
1074_10_FBG,587.5,7321640.451,22538065.97,236417634.5,8490929.902,6398041.818,4126451.728,6680655.882,3519611.629,2688506.249,7462443.537,22322106.83,12382266.28,987827.958,1073007.428,1727068.396,11455083.97,11578754.3,13624414.18,796567.935,9680890.28,3464420.579,2740246.152,1125002.814,2256427.65,36606521.46,1674332.126,786315.4132,3303524.085,1412438.064,2440945.06,6407506.017,8821264.205,135565840.5,7564100.81,1808088.92,4606661.878,26868664.34,624992.4632,2476084.048,11920460.3,292516122.1,2253076.759,27745371.91,1780765.955,77247.02345,985209.6593,4321950.362,20489762.28,91115860.32,4627316.478,26232612.58,24710112.51,202240776,4627316.478,3150311.443,3545092.503,4650074.637,10778687.44,1239497.741,8449818.491,32190407.3,17791839.91,489944.8441,9986776.782,5146109.449,111376.7413,26474237.9,12848417.88,10415368.88,583117.327,391028.5026,1548895.257,2727477.685,100857474.1,643925.7324,54785855.52
1092_8_FBG,567.0416667,11713691.26,27234630.5,46335121.75,6904330.433,4341396.357,5634376.922,4232488.977,4088105.163,2117111.024,7623476.687,28625459.14,11048101.01,1420173.045,795933.2947,1399633.461,11725009.81,19869847.69,8956673.982,602158.5677,7888028.233,4945246.159,4895286.273,1222482.381,2663247.152,35813584.44,1068341.723,587543.2805,2142410.673,2408311.471,1114903.529,7137097.981,8023525.419,68445376.87,5095761.476,1151539.196,2102405.487,31748212.09,224859.1708,629590.9878,7155230.203,267516501.2,2453429.661,23724288.22,1202377.504,615845.7631,453035.3892,3947063.661,18756793.91,73105778.06,1595261.92,19286862.42,14923914.44,259673492.9,1595261.92,1222872.644,5330012.492,3480269.775,7022093.413,984820.9467,7361431.304,29034801.7,14822197.76,693182.3657,8501928.325,4248740.929,664182.8934,23756391.95,15283586.08,9077813.332,481336.2708,321681.5044,1991064.969,3073851.905,77398850.19,3787511.756,53894242.7
1092_9_FBG,567.0416667,5653831.956,22223387.98,122586492.8,8279754.673,6978465.134,4859527.665,7258382.419,4718745.87,2499506.646,8385674.757,27227790.98,14448736.95,693924.4466,904375.2551,1378014.507,12971689.21,18188666.32,14045130,658804.3293,10716253.26,4307694.12,5667614.714,966734.1821,2337882.727,47432110.01,1238602.079,868075.9389,2410860.011,1892567.725,1990297.064,3412678.292,11398147.16,135644251.7,7736405.747,1720379.456,4720060.427,16057320.56,425524.4564,2133657.045,12030731.02,297661172,3217901.852,32330201.05,1549778.254,953533.0219,1290450.882,3327445.82,14763775.35,94940067.12,2135183.186,19482922.9,30759546.06,245121375.3,2135183.186,3934027.942,5698910.762,3901252.849,8267091.129,1040263.102,10090088.86,25862916.47,21476527.4,742265.662,12161615.85,7559484.322,119718.3961,26982550.17,10775460.74,12079834.98,612146.8331,323808.3112,1713859.498,3036524.318,62050237.09,3190197.94,56545037.55
1092_10_FBG,567.0416667,8527651.349,24829713.32,5814342.726,9010806.155,6671564.537,6397542.843,7065136.312,4537266.072,3116573.224,12130284.13,33987495.16,14446282.9,754988.2461,482593.3993,1815003.723,14789030.43,18346302.63,17164873.84,1033375.081,12795990.66,5830871.864,7803319.565,1081175.34,2925277.382,49864969.52,2008114.251,892600.9879,3669988.055,3361990.479,2387112.879,7301487.072,12046718.33,158124896.5,7256436.571,1951849.39,5293083.077,29428301.3,285025.7102,2300527.777,12446608.5,255904816.4,16179825.46,31833211.89,1835113.256,922951.8696,448289.3575,3640065.6,21080616.48,90907791.69,2869464.428,24035648.33,24803342.53,240982275.5,2869464.428,3639246.658,6236186.308,4349184.305,2221009.166,1413861.841,9270960.374,30300477.49,18947969.37,1162241.388,11218210.23,6217226.599,2657742.076,20908534.39,13861166.43,11778822.65,611365.5077,405767.3432,1922233.051,2888990.24,84565689.62,4814439.619,64988534.37
1102_8_FBG,776.0833333,13295139.15,33999807.19,594144.1235,8793372.45,5514616.505,4098660.387,5857032.122,3870467.125,2657807.278,15731696.02,17365811.01,14727928.41,1591330.143,906598.0508,1702843.553,12456657.85,11970505.52,14348827.91,1920327.465,13626490.27,3384091.654,4604751.595,1060709.593,2012789.779,36504684.96,1905947.35,617424.2714,4270318.976,3614193.832,1981570.771,2403711.267,8783071.396,186425334.4,6732729.476,1816262.324,1693375.18,27241488,608339.0879,2118072.196,11825573.31,284587808.5,4176182.582,30149098.07,1738639.345,1031863.53,64828.80658,9177408.108,19911211.65,108496144.5,1993362.588,36953808.15,31885698.37,221539579,1993362.588,3939501.046,4263595.453,4476805.996,2094991.418,1990488.444,9049214.738,70970935.87,20839869.12,1599829.52,10675808.08,4839249.871,2615491.101,25070671.77,16133770.61,13075032.68,604692.0128,647878.5316,1582806.847,2432837.834,67410327.17,3906620.472,50704249.29
