rat_ID,OGTT glucAUC,Urocanic acid,Uridine,Uric acid,Tyrosine,Tryptophan,Trigonelline,Indole-3-acrylic acid,Threonine,Threonic acid,Taurine,Stachydrine,Serine,Ribose,Quinic acid,Pseudouridine,Proline,Pipecolic acid,Phenylalanine,Phenylacetylglycine,Ornithine,Nicotinamide 1-oxide,Nicotinamide,"N6,N6,N6-Trimethyllysine","N3,N4-Dimethylarginine",N-Methyl-2-pyrrolidone,N-Isovalerylglycine,N-Acetylornithine,N-Acetylneuraminic acid,N-Acetylaspartic acid,Methylhistidine,Methylaminopyrimidine,Leucine,Lactic Acid,Isoleucine,Hydroxycinnamic acid,Hydrocinnamic acid,Histidine,Hippuric acid,Guanidinosuccinic acid,Glyceric acid,Glutamine,Glutamic acid,Glucose,Gluconic acid,Ethylglucuronide,Ergothioneine,Cytidine,Creatinine,Creatine,Citramalic acid,Choline,Carnitine,Betaine,Glucopyranuronic acid,Beta alanine,Asparagine,Ascorbic acid sulfate,Arginine,Anserine,Anhydrohexose,alpha-Glycerylphosphorylcholine,Alanine,Adenosine 5'-monophosphate,Acrylic acid,Acetyl-beta-methylcholine,8-Hydroxyquinoline,"5,5-Dimethylhydantoin",4-Oxoproline,4-Hydroxybutyric acid,4-Hydroxybenzaldehyde,4-Guanidinobutyric acid,3-Methylhistidine,Indoxyl sulfate,3-Hydroxybutyric acid,2-Naphthalenesulfonic acid,2-Mercaptoethanol
1102_9_FBG,776.0833333,7605684.75,26254317.42,30472182.37,8384954.575,6576389.348,2848087.39,6913637.562,3784004.078,2525490.592,10405888,10718777.02,11467006.65,650473.0404,839981.0505,1174172.565,9789766.047,12337158.85,10378059.82,1399945.75,12005873.66,2805463.459,3840296.249,941883.1222,1391739.671,45317334.14,1200772.32,490888.208,2687056.737,2925433.907,1316966.697,5709445.207,10071200.49,130481345.3,5166936.251,1626464.174,4056197.401,17312193.53,525375.1747,938899.4567,11613248.14,228903075.5,3575751.56,24272116.97,1445729.336,672505.3533,626343.0975,5239037.575,16986352.45,87889448.63,2496158.574,20879767.17,25928624.35,179702085.6,2496158.574,3717832.125,3560338.846,5893606.355,4512785.836,1197409.005,6827096.322,37774826.26,17421821.63,971331.0122,8196794.944,4926510.755,1164009.178,20468709.89,12073494.57,6330310.019,541312.302,366474.0606,1239684.078,2544254.119,46526685.1,2377770.899,53429361.47
1102_10_FBG,776.0833333,18341687.29,27136967.06,93046706.78,7145863.644,6979131.982,4025683.962,8256026.629,3460824.406,3106666.787,11028803.54,17421343.25,18252529.55,1117756.346,1013442.866,1860181.568,14488887.91,11899347.5,13329582.57,2181760.508,14716983.17,2729015.545,2860018.027,1131557.948,2288142.267,51555184.11,1539596.416,470166.6049,2741806.352,3468434.586,1628803.516,1923430.386,9217633.073,172608541.6,7281193.493,1401972.814,2708656.281,19644593.05,830915.3711,1968649.319,14695335.27,244113205.2,5600722.677,30114561.97,1962857.583,927717.4046,1617641.694,6493753.55,18504478.49,100500389.5,2717575.02,30957740.02,35127854.2,203800893.8,2717575.02,3996092.436,4140010.915,5850080.396,2587515.161,1169240.162,18106338.67,49469152.27,20801954.5,947404.993,11250418.58,5330805.427,370782.5215,21816176.35,22014150.78,11350128.28,501719.553,314292.0429,1364990.014,3463843.892,45769471.98,4226923.977,62490974.8
1076_8_FBG,1004.083333,12083299.95,22872281.7,7280522.292,14613085.97,6761108.556,5283029.847,6860685.894,5208036.891,3106457.892,10058824.45,21734611.03,18310286.33,1539297.216,5617890.559,1565853.388,18440407.38,16047625.41,16234564.32,2517169.651,21342499.21,4415686.271,1877491.136,899515.1448,2042611.175,72131446.47,3217308.908,1121178.315,3560592.843,2308847.799,1610617.109,2538376.527,14992778.04,189663472.1,10081346.19,3033627.809,8905699.813,15136014.96,1188758.133,3205095.671,9281483.244,281972077.1,3034879.148,56246412.49,1884716.177,1675834.205,252920.828,9747351.808,17766747.26,94422615.68,3534149.893,37276958.34,27475911.07,146425621.8,3534149.893,5950366.415,5361399.996,5648666.523,4854865.033,1193405.231,15828948.85,84224458,25398563.24,956789.9541,20747003.17,4863866.132,1747950.983,24510302.82,16787010.37,8467594.677,1012171.851,762270.0328,1800687.259,6165511.708,31392587.19,418538.2378,69231783.48
1076_9_FBG,1004.083333,3731122.051,13527251.04,104598.2131,3582115.584,2619487.952,1565793.622,2555989.003,2189312.064,1131606.255,10417077.86,9345917.85,9026347.56,865048.2536,336060.8962,576202.4004,6268110.582,12004653.77,6070902.455,2232574.351,7179706.086,2953344.235,5283759.47,1256788.034,1619000.645,55709967.14,2766232.028,344276.8264,1578616.54,5034001.892,75320.6175,783609.1044,6843308.184,75356162.07,4464499.924,640887.9914,6420641.977,147738.714,346052.6706,112802.8944,5055533.362,150106562.6,4873700.671,24379345.29,1172498.172,421304.1254,48098.26236,3957390.891,13507236.5,58375211.7,2627528.672,23999552.49,13689858.3,114641512.9,2627528.672,1027895.874,2581652.312,4956631.181,1028786.203,761467.9131,6832535.982,30812942.93,11779977.17,622348.9689,9774627.983,2769643.44,2522489.507,13459016.38,7367875.347,3167902.082,241697.2798,329610.2564,742628.7618,2107359.936,18337205.76,436747.997,64918330.98
1076_10_FBG,1004.083333,3525480.585,14970668.24,109066178.7,7077849.388,6378198.054,4346729.302,6824718.829,2798408.954,2731005.45,6522229.015,51657940.94,11716907.96,2290809.935,3097738.577,1387224.742,8872581.37,10383641.11,10913871.41,1899931.814,12203619.31,3308076.497,2947128.117,773662.7515,1609603.319,53669559.31,1810615.737,700363.7801,2743368.567,2426907.223,1443617.565,4779021.577,8779752.684,144032591.5,4833090.167,1643174.425,4230252.447,12240167.36,2082260.973,1625087.356,8023163.633,235151087.9,2022286.632,36033423.82,1852922.717,992419.0405,1301735.604,4084558.663,15429587.51,94277801.91,1410033.819,24678241.79,20805482.54,147435019,1410033.819,3178012.609,3968620.709,6051559.295,5104912.996,1027314.697,9453019.376,35501270.75,17511167.29,452093.8021,14147973.42,5536124.522,268897.0521,20449655.76,7640560.305,9129817.436,508918.264,387031.5974,1615103.589,4107227.723,52005952.6,5960932.126,68756113.5
1082_8_FBG,941.0416667,18235375.76,25232618.8,333853.6505,6039063.791,3527705.67,2669304.531,3681963.356,3473634.416,3435142.121,13741229.38,12874841.68,15379018,1572151.046,662347.7939,1576699.243,13597559.59,11902768.16,13269413.56,3113720.965,10266374.64,3702673.262,6395580.115,1163234.914,1512726.281,53729744.42,4192624.351,755132.5717,3708053.29,3910677.221,1552933.849,5792403.587,9591647.095,147107900.8,7714544.524,1411210.198,7748527.371,15927733.73,617695.9715,2463953.083,8609355.494,256873500.8,4202609.66,35268900.87,1612659.228,1086508.365,78922.7967,8718758.839,22225695.97,107400876.7,1822902.813,35365718.47,21045961.75,148561924.6,1822902.813,5840559.872,3749824.428,5618109.836,1094417.915,2299005.051,11653705.59,74355162.01,20641745.21,1390863.743,12740802.57,3177974.58,3371079.144,23175416.12,22501227.47,8240728.413,468811.843,435808.0333,1369346.017,1023502.078,79261717.49,1770726.978,61971257.08
1082_9_FBG,941.0416667,11899022.45,17248648.24,100684921.5,8514004.766,6845124.881,2865204.325,7432208.627,3576951.711,1900305.364,9152678.808,18828007.1,9930590.065,1542202.103,551240.2063,1658595.906,11659540.35,12532396.25,14012804.23,1710738.996,10748497.79,3523040.203,3951869.923,1111504.489,1997819.75,48543148.47,1606499.415,637694.2068,2750240.398,2419272.93,1038172.556,2247771.778,13482838.21,97976354.52,6900745.792,1753885.397,2773662.507,13817710.06,602593.2535,2780651.911,8987288.583,236078985.8,2451169.214,35023988.19,1222473.622,1034197.698,959877.029,3864780.544,17795941.9,93954891.73,2497570.32,20163911.17,24318796.31,134512763.5,2497570.32,2676086.598,3931144.189,5762624.358,4221440.759,1422938.327,9343805.125,26594927.04,18128698.32,594959.4906,13358009.12,3506110.04,131004.3867,20556645.78,16107337.12,6720617.701,559497.9675,366216.0664,1198287.136,2759251.911,57634871.54,2054842.68,64931628.72
1082_10_FBG,941.0416667,18713470.55,22439832.1,132158599.1,8426887.755,7659976.903,3654970.327,7616393.852,3133366.701,3377696.311,14089801.65,21145857.77,14432277.1,1234554.302,480162.174,2098839.909,13961403.02,12382555.4,15291522.19,2141209.28,9348842.872,3432179.81,3283020.202,1265599.646,2185612.646,52493278.9,1838675.159,586206.0455,3678302.392,4022891.323,1478477.913,5966995.697,8690155.205,181928542,6303464.123,1851054.69,8211555.326,25205220.24,291203.5382,2092797.595,10846430.79,256578391.6,3916003.064,28755108.8,1424625.244,1009074.386,1029885.112,4214906.7,19866080.78,103517229.8,1863641.166,23499582.76,23520065.2,176661616.4,1863641.166,6384194.723,3192723.963,5167154.898,3965644.966,1730531.346,9020178.803,31640817.44,20170367.17,821969.4629,10299848.51,4416949.737,860643.0771,22468704.9,20997170.69,8930307.298,602681.4965,364398.7744,1426530.016,2254015.29,52634099.65,1839133.078,62644810.49
1101_8_FBG,916.7916667,9575036.976,29098930.63,195324.4792,4626043.406,3200635.6,1975352.99,3499801.953,3147876.036,1424223.235,15675002.15,10803156.86,12009152.91,698416.7772,380200.9344,757792.6926,8382842.718,12779574.94,8409676.436,1516548.853,7753565.096,3130820.429,7464537.331,1104096.211,2096414.593,43755261.34,1929569.848,377947.67,2228556.003,6334345.611,105675.8474,2053657.627,12699921.18,70094732.48,4699559.537,762826.1343,4819789.454,1662024.387,376677.5138,339267.7196,5327172.793,173552697.4,3374250.178,18352027.14,687766.108,259285.7917,47412.47685,7091763.888,11426800.02,75845276.01,1712397.119,28558273.86,13400907.06,155035935.9,1712397.119,1407752.624,2862223.328,2961768.318,1646864.168,1655704.849,4846195.928,47089480.76,13711304.4,993744.027,6758504.507,2061786.43,2645992.597,15575501.02,11667546.84,5007279.338,321012.2653,442270.531,2246118.923,1313368.811,31589293.16,608936.7434,55015203.87
1101_9_FBG,916.7916667,5862987.645,20934257.82,109757757.5,7896952.424,8287948.817,3174586.745,7840889.229,4127442.895,2405401.53,9916322.781,12377288.19,12911430.68,1001372.18,771202.3164,1586333.593,10467241.66,12163237.04,14130061.63,1339759.416,14461557.76,2615823.33,3964095.665,1097250.663,1725825.942,40561764.42,1160470.686,592903.8505,2888256.685,2465715.31,1818962.658,6228263.115,11907246.66,127343073.9,8465060.477,1793823.966,6542353.293,26217822.15,890357.1366,2845160.445,7223970.696,218121978.1,9760539.026,27289744.19,1220992.848,853546.0797,1325965.134,5892062.615,14659385.84,93785104.47,2379175.697,29109802.93,26675626.03,167595678.2,2379175.697,4511630.991,3880672.445,3651731.975,435312.4634,932390.1236,9220534.091,45053489.55,17701391.02,679741.9817,9727358.683,5504208.942,274184.5819,18750678.07,11027897.98,10098836.22,616521.2726,353159.0895,1402230.394,2721312.304,69660849.32,1594443.248,53847689.03
1101_10_FBG,916.7916667,10421146.59,27980179,144186653.3,8760253.27,9091146.365,4184830.212,8871654.382,4338647.399,3217238.839,16212978.12,20058164.91,13060921.99,1457868.9,922815.001,2016798.822,12273695.28,15571086.79,18750861.87,2328921.86,12427841.22,3071092.71,2914785.431,1338071.262,2858209.136,49917844.14,1500179.321,656680.47,3805725.833,4369573.345,1871525.067,7944386.25,12110968.99,175814468.6,8042811.984,2056868.186,4335657.938,34256560.04,595161.5792,2682707.85,10538652.61,252106470.1,5098342.784,26690176.56,1590687.756,1022297.158,1440277.998,4323866.822,16668707.47,105632045.8,2394189.941,26230772.51,32035642.46,181886734.8,2394189.941,5025212.689,3836793.157,4764317.112,1947936.16,1694789.789,7865157.644,35191945.73,21085664.8,1080809.408,9015843.145,4872250.298,777247.3669,20944100.9,17973137.2,10587211.68,678310.928,484156.0816,1727122.267,3460777.791,41318690.64,5532052.658,61213297.52
1091_8_RBG,317.6666667,13601848.35,21250735.25,10432844.47,10999578.02,7801870.375,12353356.64,8228512.692,6725998.379,2374851.957,15774034.47,46111743.49,15750826.82,2396035.869,11323225.77,1037908.102,20137587.65,17916979.16,16831067.43,458749.2436,19902540.95,4024477.754,9046877.66,1076694.869,1524536.125,37067316.38,1370344.804,1297028.476,2801068.968,3196169.484,1364976.826,8955734.942,16393157.8,230147789.3,11139279.72,2296203.005,33440852.68,39467451.66,2889223.91,3808131.736,13403959.52,262944980.7,8492493.46,39831403.85,2076656.353,1539549.651,624678.4862,7896457.38,18957364.66,75267608.12,1261626.383,38094440.96,57901566.26,223797733.4,1261626.383,4065195.817,5707046.847,3737870.888,1820698.191,1151881.759,22906237.42,73463323.42,25302340.04,1397702.291,14906837.91,2511728.95,2849509.407,21566527.79,18542604.74,7562803.129,843714.0014,735757.3046,775723.5543,4325512.721,20689642.26,4157712.954,65704719.32
1091_9_RBG,317.6666667,8466763.387,14863164.34,147024826.8,11463127.22,7696642.966,11449140.84,8685617.794,6371680.381,2425307.188,9649428.72,44270408.61,15151239.86,2086557.387,11441539.32,723981.3785,20244051.44,20683682.96,16887555.19,217994.3488,21573889.01,5759856.592,10718912.3,1226317.588,1929401.451,37830088.42,1292441.855,1237576.281,1697543.305,2417160.034,1048263.535,8581498.868,19141792.31,203652499.9,9236038.512,2588236.488,33768936.94,37571374.65,2640735.327,3956721.037,12231097.71,230348307.8,10593907.88,34394999.05,1527535.155,1123524.079,1389014.35,6053704.276,18295769.37,57567939.98,1456478.746,26842993.39,49527805.98,193970763.6,1456478.746,3002874.349,7515616.79,4640087.188,1387187.386,382857.973,8746602.675,46485076.73,24630691.76,813329.3702,11938890.8,2318356.331,391025.2083,20309396.55,14623212.63,7282019.114,807616.3763,617909.8034,742116.7587,5382766.36,20370663.59,8943206.121,45538565.16
1091_10_RBG,317.6666667,15663246.93,14600062.17,126324883.3,11319162.77,9593105.6,10999240.54,10528528.62,5609603.368,1740526.74,9796493.034,47746883.51,16548793.52,1967627.711,8678019.698,1034473.572,22330487.05,13806026.5,18344286.93,261173.9314,17744575.92,3855468.512,6072893.651,782088.0526,1711566.314,32076023.66,942203.4618,1123516.612,1543111.743,1847970.007,1123368.826,8613041.366,16850991.46,242599686,10426178.99,2444361.292,28556662.43,19271065.52,2537667.817,3567287.469,11385502.4,239373285.7,4059132.249,26224510.75,1109639.443,71136.10553,1455612.564,5251404.75,19500030.95,51941756.14,1603251.888,24482973.63,48928398.8,212992479.2,1603251.888,2532891.865,6795008.494,2632769.056,3029248.445,312868.8078,7524358.125,39051943.44,23909240.06,656320.2789,9108258.31,2479728.369,124727.341,19982745.09,21839365.23,8526357.853,821523.8745,572174.3655,617306.4478,7518429.344,21687306.79,3911081.711,47097917.97
1093_8_RBG,417.625,7776992.357,11447168.01,24053602.12,10017059.06,6646618.09,11377137.18,7582078.943,5261789.073,2012726.06,15256382.91,45533782.98,14462323.14,2313033.613,12493621.82,720681.291,17153665.72,21039338.15,13007891.64,495297.8139,16874164.26,5140501.762,9730768.5,1041744.798,1726467.082,41916234.12,1163965.709,1021492.58,2030004.543,3826436.779,757232.1768,8672770.625,15756623.27,156699089.6,8214609.529,1609389.486,23515293.7,38476295.11,2411877.634,1080015.432,9224044.938,218811829.6,6924329.227,31549557.78,1263676.133,591377.8679,463841.5342,6456782.664,20030136.99,71962069.11,2166079.05,27813086.33,45173998.54,235465068.3,2166079.05,3486899.299,6687315.881,3168260.97,5439543.354,1401919.775,14299026.33,52809048.6,22915219.84,1833199.685,10878948.32,3773769.728,2906588.32,19984099.51,12423786.2,6015389.842,718197.0127,615384.4286,600731.3204,3169737.072,8333737.919,2691894.895,56373718.82
1093_9_RBG,417.625,15049986.29,20890013.26,77161137.7,10561480.99,8710860.807,10513012.97,9941384.565,5573531.379,2579951.159,6718593.17,37430666.22,17702557.54,1719598.729,7330732.497,1040131.102,19429850.77,16169803.39,14415927.75,304601.3271,20805638.23,5101379.465,6334479.437,919508.4024,2154702.297,37684754.83,1418225.436,1216019.846,2052350.233,2697856.302,1167189.084,2839049.479,14668196.19,237217752.4,10542993.13,2420070.966,30017964.42,34985560.95,3007848.666,3819317.656,10699075.87,299534723.2,2771381.637,32327483.68,1667374.547,1056886.281,1089365.985,7227321.15,16978757.56,50522800.38,1186775.253,28076378.87,54424351.51,207751310.4,1186775.253,3660222.493,6322785.406,3357314.663,27432245.33,540898.8281,17647039.04,53443575.04,23402865.92,961396.1486,12108237.11,4472592.594,232598.0135,25974043.58,21402679.93,7201448.745,773661.3255,515496.2251,647994.0841,3939977.998,20081974.27,3763698.384,52971779.63
1093_10_RBG,417.625,8378725.569,18109849.31,76471112.39,12772532.49,8614716.042,11354178.26,10223355.16,6387831.473,2195730.338,9222551.482,46159615.35,19151524.3,2422004.707,9719629.258,1150336.058,22395887.26,20793315.75,17676262.29,390020.2307,19651568.49,3302416.122,6085481.97,963086.7735,2246925.956,46549048.09,1016651.36,1153937.248,1707670.576,2359620.531,1156768.769,10343946.53,18277548.63,244206031.1,11244992.96,2785624.029,27489768.63,27786638.56,2873354.286,3826239.333,9600013.557,288292553.7,4436005.201,27590524.28,1700505.169,974948.5953,1272632.678,5796646.762,18348474.17,59813113.09,2231375.775,25508205.14,52242711.89,225951452.5,2231375.775,3287605.364,8879711.664,2543618.807,22382149.23,790275.2179,8568835.207,41691271.95,28676632.16,1252046.592,9682930.929,4782531.841,676341.0985,25421535.32,14327097.6,6993097.979,865139.0659,588223.8017,792477.7715,4796823.914,24089985.26,2241648.533,57279076.2
1060_8_RBG,812.375,14154802.9,19754559.11,176736.9208,9715231.647,6662481.371,8378362.765,7806141.107,5802902.928,3738320.663,18128607.2,32302854.59,15517632.07,2338610.084,8611698.842,963890.5974,20828506.32,14551297.52,18937072.91,1501213.649,19847541.41,4641193.199,10936628.75,865506.3531,1342529.887,52237316.38,4099828.206,1108462.178,2960213.205,5693332.247,719411.4305,8745921.6,19194176.53,232923891.8,12641225.57,2149903.01,27704275.32,39025348.71,3162902.825,4095204.943,10559655.88,267956154.9,5726442.81,63512747.37,1778544.964,2547980.885,97939.93935,8947707.615,17587217.25,82903387.03,1485001.622,42387481.06,39823952.42,190563354.9,1485001.622,7976990.191,6163102.817,2260310.686,2828088.806,1206429.531,29777120.87,78622521.61,26275848.93,2076533.14,23410516.71,2329893.692,5112537.504,22447416.02,18288011.49,9011090.625,626604.4917,1085292.55,488084.7995,2716139.995,20421366.74,3050164.165,80902937.05
1060_9_RBG,812.375,758151.9651,15299237.18,83364681.46,9052888.98,6338313.699,8139687.741,6903919.576,5111901.066,1516402.309,5957585.531,21880261.44,9517619.626,2268377.487,10999159.63,655409.4221,14228858.94,11585235.46,10168250.85,817734.2832,19204031.48,3583059.691,4902732.528,1496357.755,3104152.079,49761416.74,2463751.837,964832.635,1397708.731,2207848.522,97048.65857,717106.8364,18362787.64,90449955.27,8702961.564,1811087.061,33515211.82,9175045.864,1611366.945,882557.4451,6358858.708,308223223.1,2010431.364,42130804.58,1076048.643,331803.2908,846947.0766,5213322.904,12657794.16,71638016.06,1561288.627,15977961.59,31080892.66,157978507.4,1561288.627,535611.5818,7386640.149,1676167.807,5602571.429,348120.459,9389933.849,37569962.48,20636727.76,481177.993,14459880.04,1355411.355,143255.2287,26482897.08,5625427.824,3524157.242,628397.1056,866639.165,444095.7471,3383939.072,5950034.865,737777.8863,89165726.82
1060_10_RBG,812.375,12097944.06,16754646.29,65098361.46,11494007.11,8021247.717,12465758.21,8721472.665,5847287.035,2385102.133,6363013.005,56232212.62,17581648.94,2764914.011,12237052.45,998924.4232,24677167.73,16252148.75,19418650.24,407126.2658,22383048.26,3450679.506,4068227.476,1026742.587,1291519.819,53467286.09,1394606.242,1465727.313,1875221.976,2189937.831,1003418.868,4354602.536,19852515.16,261662075.1,11564549.92,2555479.001,33291604.19,20823046.15,3149897.656,4125230.464,10711244.85,257834778.1,3142505.985,66144700.02,1817535.638,2303328.268,968047.9389,6167249.353,17901066.82,80354557.57,1622620.841,33132478.14,42622854.24,211620379.6,1622620.841,3867637.943,7317305.173,2534780.452,12837518.13,438513.8477,19392337.43,50441167.31,28258258.52,763650.6484,23968244.44,2744985.835,1744304.617,21798948.61,15633650.53,9082762.258,863328.8501,751113.9731,747513.7611,5537088.475,26267626.36,5146707.344,72438106.58
